zip_code,HDBH_2017,HDBH_2017_moe,HDBHR_2017,HDBHR_2017_moe
60601,91,,85.4,17.41517857163
60602,25,,400.5,201.1348214232
60603,18,,990.3,812.4285714279
60604,28,,674.2,293.07857143495005
60605,285,,119.7,14.099999999953
60606,66,,488.3,217.83660714655
60607,651,,304.1,21.52767857163
60608,1137,,138.8,6.9241071429075
60609,1116,,180.2,9.064285714232
60610,498,,126.6,10.1133928571865
60611,248,,79.4,10.1133928571865
60612,1366,,429.8,19.47142857163
60613,640,,140.9,10.1133928571865
60614,571,,93.6,7.0499999999765
60615,680,,165.1,10.700892857116
60616,641,,126.5,8.4767857143025
60617,1199,,144.4,6.9241071429075
60618,928,,104.3,5.7910714286285
60619,1421,,218.2,9.8196428571395
60620,1580,,217.4,9.148214285721
60621,1307,,373.4,17.33125000047
60622,983,,231.2,13.050892857163
60623,1870,,220.6,8.560714285791502
60624,1510,,395.4,16.953571428605
60625,842,,109.8,6.4205357143025
60626,1525,,298.3,12.966964285674
60628,1561,,216.9,9.1901785714655
60629,1242,,112.3,5.371428571348001
60630,522,,94.7,6.9241071429075
60631,254,,92.9,9.9035714286285
60632,790,,86.2,5.2035714285345005
60633,158,,120.3,15.8625000000705
60634,815,,107.7,6.294642857069
60636,1303,,320.4,14.8553571428605
60637,1291,,270.7,12.5892857143025
60638,569,,104.3,7.259821428534499
60639,1235,,138.8,6.6303571428605
60640,2139,,302.6,11.2464285714655
60641,901,,123.7,6.882142857163001
60642,197,,132.2,16.911607143025
60643,762,,151.8,9.358035714279
60644,2278,,469.4,16.4080357142555
60645,653,,148.2,9.651785714326
60646,181,,69.9,8.9803571429075
60647,1253,,157.4,7.679464285650501
60649,1367,,279.0,12.6732142857915
60651,1830,,289.8,11.28839285721
60652,417,,103.1,8.392857142813499
60653,893,,291.8,16.156249999953
60654,181,,106.6,14.603571428558
60655,274,,97.3,9.777678571395
60656,183,,67.4,8.434821428558001
60657,560,,98.3,7.679464285650501
60659,344,,88.4,7.8892857142084996
60660,693,,150.8,9.6937500000705
60661,27,,45.8,29.96249999953
60707,462,,104.3,8.099107142931
60827,445,,156.5,12.421428571489
