zip_code,diabetes_hosp_count,diabetes_hosp_count_moe,diabetes_hosp_rate,diabetes_hosp_rate_moe
60605,12,,5.6,2.769642857163
60607,28,,22.8,8.015178571442
60608,166,,25.7,3.4410714285815005
60609,188,,38.1,4.741964285674
60610,34,,9.7,3.0214285714655
60611,16,,6.5,4.238392857069
60612,126,,40.9,6.1267857142555
60613,44,,11.1,2.895535714232
60614,51,,10.7,2.6017857143495
60615,95,,23.5,4.028571428511
60616,104,,19.4,3.189285714279
60617,235,,27.1,2.9374999999765
60618,115,,15.3,2.4339285713715
60619,313,,43.0,4.1125
60620,333,,42.7,3.9446428571865
60621,165,,49.3,6.4205357143025
60622,69,,20.6,4.2803571428135
60623,236,,33.9,3.7767857142085
60624,135,,38.2,5.4973214285815
60625,94,,14.2,2.475892857116
60626,115,,27.3,4.3642857143025005
60628,304,,39.8,3.818749999953
60629,310,,35.0,3.4410714285815005
60630,64,,10.6,2.2241071428135
60631,45,,12.2,3.10535714279
60632,166,,24.6,3.2312500000235
60633,21,,15.1,5.455357142837
60634,140,,17.2,2.4339285713715
60636,183,,46.7,5.7910714286285
60637,132,,27.9,4.028571428511
60638,98,,16.5,2.769642857163
60639,211,,29.4,3.5250000000705
60640,177,,27.2,3.483035714326
60641,135,,20.6,2.9794642857210003
60642,23,,17.5,6.6723214286050005
60643,181,,32.6,4.1125
60644,260,,53.2,5.4973214285815
60645,73,,16.2,3.1473214285345
60646,42,,12.2,3.273214285768
60647,165,,27.1,3.7348214286285
60649,173,,34.8,4.406250000047001
60651,233,,42.4,4.7839285714185
60652,100,,27.5,4.616071428605
60653,136,,43.2,6.1267857142555
60655,41,,13.9,3.6508928571395
60656,31,,10.3,3.10535714279
60657,38,,8.6,2.3919642857915
60659,61,,17.1,3.608928571395
60660,76,,18.7,3.6508928571395
60707,69,,14.9,2.9794642857210003
60827,125,,49.9,7.595535714326
