zip_code,GEOID,HDDIA_2017,HDDIA_2017_moe,HDDIAR_2017,HDDIAR_2017_moe
,,"Diabetes-related hospitalizations (count of hospitalizations), 2017",(90% margin of error),"Diabetes-related hospitalization rate (per 10,000 population), 2017",(90% margin of error)
60605.0,60605.0,12.0,,5.6,2.769642857163
60607.0,60607.0,28.0,,22.8,8.015178571442
60608.0,60608.0,166.0,,25.7,3.4410714285815005
60609.0,60609.0,188.0,,38.1,4.741964285674
60610.0,60610.0,34.0,,9.7,3.0214285714655
60611.0,60611.0,16.0,,6.5,4.238392857069
60612.0,60612.0,126.0,,40.9,6.1267857142555
60613.0,60613.0,44.0,,11.1,2.895535714232
60614.0,60614.0,51.0,,10.7,2.6017857143495
60615.0,60615.0,95.0,,23.5,4.028571428511
60616.0,60616.0,104.0,,19.4,3.189285714279
60617.0,60617.0,235.0,,27.1,2.9374999999764997
60618.0,60618.0,115.0,,15.3,2.4339285713715
60619.0,60619.0,313.0,,43.0,4.1125
60620.0,60620.0,333.0,,42.7,3.9446428571865
60621.0,60621.0,165.0,,49.3,6.4205357143025
60622.0,60622.0,69.0,,20.6,4.2803571428135
60623.0,60623.0,236.0,,33.9,3.7767857142085
60624.0,60624.0,135.0,,38.2,5.4973214285815
60625.0,60625.0,94.0,,14.2,2.475892857116
60626.0,60626.0,115.0,,27.3,4.3642857143025005
60628.0,60628.0,304.0,,39.8,3.818749999953
60629.0,60629.0,310.0,,35.0,3.4410714285815005
60630.0,60630.0,64.0,,10.6,2.2241071428134997
60631.0,60631.0,45.0,,12.2,3.10535714279
60632.0,60632.0,166.0,,24.6,3.2312500000235
60633.0,60633.0,21.0,,15.1,5.455357142837
60634.0,60634.0,140.0,,17.2,2.4339285713715
60636.0,60636.0,183.0,,46.7,5.7910714286285
60637.0,60637.0,132.0,,27.9,4.028571428511
60638.0,60638.0,98.0,,16.5,2.769642857163
60639.0,60639.0,211.0,,29.4,3.5250000000705
60640.0,60640.0,177.0,,27.2,3.483035714326
60641.0,60641.0,135.0,,20.6,2.9794642857210003
60642.0,60642.0,23.0,,17.5,6.6723214286050005
60643.0,60643.0,181.0,,32.6,4.1125
60644.0,60644.0,260.0,,53.2,5.4973214285815
60645.0,60645.0,73.0,,16.2,3.1473214285345
60646.0,60646.0,42.0,,12.2,3.273214285768
60647.0,60647.0,165.0,,27.1,3.7348214286285
60649.0,60649.0,173.0,,34.8,4.406250000047001
60651.0,60651.0,233.0,,42.4,4.7839285714185
60652.0,60652.0,100.0,,27.5,4.616071428605
60653.0,60653.0,136.0,,43.2,6.1267857142555
60655.0,60655.0,41.0,,13.9,3.6508928571395
60656.0,60656.0,31.0,,10.3,3.10535714279
60657.0,60657.0,38.0,,8.6,2.3919642857915
60659.0,60659.0,61.0,,17.1,3.608928571395
60660.0,60660.0,76.0,,18.7,3.6508928571395
60707.0,60707.0,69.0,,14.9,2.9794642857210003
60827.0,60827.0,125.0,,49.9,7.595535714326
