zip_code,GEOID,HDMD_2017,HDMD_2017_moe,HDMDR_2017,HDMDR_2017_moe
,,"Mood and depressive disorder hospitalizations (count of hospitalizations), 2017",(90% margin of error),"Mood and depressive disorder hospitalization rate (per 10,000 population), 2017",(90% margin of error)
60601.0,60601.0,36.0,,35.1,12.715178571371501
60604.0,60604.0,12.0,,167.1,84.13839285768
60605.0,60605.0,104.0,,44.7,9.1062499999765
60606.0,60606.0,20.0,,105.5,55.015178571395
60607.0,60607.0,227.0,,99.5,12.463392857069
60608.0,60608.0,440.0,,52.8,4.238392857069
60609.0,60609.0,426.0,,64.4,5.245535714279001
60610.0,60610.0,140.0,,35.4,5.4973214285815
60611.0,60611.0,86.0,,30.3,7.427678571348
60612.0,60612.0,415.0,,129.3,10.6589285713715
60613.0,60613.0,255.0,,54.4,6.294642857069
60614.0,60614.0,229.0,,36.1,4.406250000047001
60615.0,60615.0,286.0,,69.8,6.966071428652
60616.0,60616.0,229.0,,45.0,5.0776785714655
60617.0,60617.0,451.0,,53.8,4.196428571489
60618.0,60618.0,440.0,,51.0,4.1125
60619.0,60619.0,455.0,,74.3,5.874999999952999
60620.0,60620.0,501.0,,70.7,5.2875000000235
60621.0,60621.0,408.0,,113.9,9.483928571348
60622.0,60622.0,346.0,,78.4,7.595535714326
60623.0,60623.0,679.0,,76.0,4.909821428652
60624.0,60624.0,537.0,,136.0,9.777678571395
60625.0,60625.0,357.0,,44.9,4.028571428511
60626.0,60626.0,613.0,,119.0,8.225
60628.0,60628.0,544.0,,77.5,5.539285714326
60629.0,60629.0,501.0,,41.8,3.1473214285345
60630.0,60630.0,220.0,,41.3,4.616071428605
60631.0,60631.0,123.0,,46.3,7.133928571465501
60632.0,60632.0,371.0,,37.4,3.273214285768
60633.0,60633.0,71.0,,54.9,10.784821428605
60634.0,60634.0,338.0,,44.8,4.0705357142555
60636.0,60636.0,403.0,,97.2,8.099107142931
60637.0,60637.0,419.0,,85.5,7.008035714232001
60638.0,60638.0,274.0,,50.7,5.0776785714655
60639.0,60639.0,470.0,,50.0,3.818749999953
60640.0,60640.0,774.0,,114.1,7.133928571465501
60641.0,60641.0,409.0,,57.1,4.6999999999295
60642.0,60642.0,76.0,,52.9,11.078571428652
60643.0,60643.0,316.0,,63.9,6.084821428511001
60644.0,60644.0,674.0,,137.0,8.8124999999295
60645.0,60645.0,300.0,,68.7,6.588392857115999
60646.0,60646.0,80.0,,31.7,6.16875
60647.0,60647.0,571.0,,71.3,5.161607142789999
60649.0,60649.0,378.0,,80.9,6.9241071429075
60651.0,60651.0,607.0,,94.4,6.4205357143025
60652.0,60652.0,192.0,,47.6,5.749107142884
60653.0,60653.0,280.0,,91.9,9.064285714232001
60654.0,60654.0,64.0,,37.6,8.518750000047
60655.0,60655.0,143.0,,51.2,7.091964285721
60656.0,60656.0,90.0,,35.1,6.294642857069
60657.0,60657.0,230.0,,41.5,5.2035714285345005
60659.0,60659.0,161.0,,41.1,5.371428571348001
60660.0,60660.0,266.0,,58.5,6.16875
60661.0,60661.0,11.0,,29.9,28.451785713714997
60707.0,60707.0,185.0,,41.4,5.0776785714655
60827.0,60827.0,178.0,,60.6,7.637500000070499
