zip_code,GEOID,HDSZ_2017,HDSZ_2017_moe,HDSZR_2017,HDSZR_2017_moe
,,"Schizophrenic disorder hospitalizations (count of hospitalizations), 2017",(90% margin of error),"Schizophrenic disorder hospitalization rate (per 10,000 population), 2017",(90% margin of error)
60601.0,60601.0,17.0,,16.7,6.966071428652
60605.0,60605.0,75.0,,30.8,6.042857142931
60606.0,60606.0,23.0,,80.8,30.549999999294997
60607.0,60607.0,222.0,,106.6,12.631250000047
60608.0,60608.0,237.0,,28.5,3.1473214285345
60609.0,60609.0,262.0,,42.7,4.406250000047001
60610.0,60610.0,142.0,,33.1,4.7839285714185
60611.0,60611.0,42.0,,14.4,3.8607142856975
60612.0,60612.0,441.0,,132.9,10.6169642857915
60613.0,60613.0,157.0,,35.7,4.8678571429075
60614.0,60614.0,114.0,,19.4,3.1473214285345
60615.0,60615.0,152.0,,36.6,5.035714285721
60616.0,60616.0,244.0,,47.6,5.0776785714655
60617.0,60617.0,302.0,,37.9,3.6508928571395
60618.0,60618.0,151.0,,16.1,2.2241071428134997
60619.0,60619.0,335.0,,54.6,5.0776785714655
60620.0,60620.0,490.0,,69.9,5.329464285768
60621.0,60621.0,441.0,,130.7,10.491071428558001
60622.0,60622.0,310.0,,74.7,7.4696428570924995
60623.0,60623.0,526.0,,62.2,4.5741071428605
60624.0,60624.0,350.0,,92.7,8.2669642857445
60625.0,60625.0,226.0,,31.1,3.5250000000705
60626.0,60626.0,575.0,,113.5,8.015178571442
60628.0,60628.0,433.0,,62.4,5.035714285721
60629.0,60629.0,240.0,,21.9,2.3919642857915
60630.0,60630.0,102.0,,18.5,3.0633928572099998
60631.0,60631.0,26.0,,9.1,2.9794642857210003
60632.0,60632.0,124.0,,14.0,2.1401785714890003
60633.0,60633.0,42.0,,29.8,7.637500000070499
60634.0,60634.0,150.0,,20.1,2.6857142856740004
60636.0,60636.0,391.0,,99.6,8.434821428558001
60637.0,60637.0,326.0,,68.1,6.378571428558
60638.0,60638.0,54.0,,9.9,2.2241071428134997
60639.0,60639.0,277.0,,31.6,3.2312500000235
60640.0,60640.0,842.0,,114.6,6.6723214286050005
60641.0,60641.0,154.0,,20.6,2.769642857163
60642.0,60642.0,28.0,,17.6,5.7910714286285
60643.0,60643.0,183.0,,38.4,4.825892857163
60644.0,60644.0,811.0,,173.6,10.197321428511
60645.0,60645.0,200.0,,44.0,5.2035714285345005
60646.0,60646.0,22.0,,6.4,2.350000000047
60647.0,60647.0,258.0,,33.5,3.6508928571395
60649.0,60649.0,424.0,,89.0,7.21785714279
60651.0,60651.0,440.0,,68.8,5.4973214285815
60652.0,60652.0,85.0,,20.9,3.7348214286285
60653.0,60653.0,314.0,,103.4,9.651785714326
60654.0,60654.0,30.0,,18.7,6.042857142931
60655.0,60655.0,27.0,,9.5,3.0633928572099998
60656.0,60656.0,27.0,,9.5,3.0214285714655
60657.0,60657.0,104.0,,18.3,3.189285714279
60659.0,60659.0,82.0,,20.6,3.7767857142085
60660.0,60660.0,275.0,,59.9,6.0008928571865
60707.0,60707.0,59.0,,12.8,2.7276785714185
60827.0,60827.0,122.0,,44.8,6.798214285674001
