Layer,Name,GEOID,HCSBH_2021-2022,HCSBH_2021-2022_moe
,,,"Behavioral health treatment (count of adults), 2021-2022",(90% margin of error)
Community area,Rogers Park,1,3600.0,2380.2617914879997
Community area,Jefferson Park,11,500.0,400.78901338490004
Community area,Forest Glen,12,200.0,223.10472987845003
Community area,Portage Park,15,1600.0,1586.1846473648
Community area,Irving Park,16,3000.0,1927.2340666740001
Community area,Dunning,17,1900.0,1768.0570022534998
Community area,West Ridge,2,1400.0,1112.07111931265
Community area,Hermosa,20,900.0,1271.75238192485
Community area,Logan Square,22,3000.0,1870.3597512985
Community area,Humboldt Park,23,1100.0,1284.7477351744
Community area,West Town,24,5400.0,3247.992522642
Community area,West Garfield Park,26,400.0,363.68873983680004
Community area,Uptown,3,1500.0,981.3230241482499
Community area,Lincoln Square,4,2900.0,1865.4465468905003
Community area,Washington Park,40,400.0,261.24801414670003
Community area,Hyde Park,41,600.0,523.4004826539999
Community area,Woodlawn,42,1400.0,1739.452606381
Community area,North Center,5,1300.0,1292.24649654415
Community area,Pullman,50,1900.0,3069.068308887
Community area,South Deering,51,3100.0,4086.0334051669997
Community area,Garfield Ridge,56,1400.0,1983.3189603675
Community area,McKinley Park,59,1000.0,780.0001297599
Community area,Lake View,6,7100.0,2441.1988403494997
Community area,Gage Park,63,2000.0,1743.4046173845002
Community area,West Lawn,65,700.0,791.1781824359
Community area,Beverly,72,2100.0,2715.758033681
Community area,Washington Heights,73,1200.0,1475.71405458505
Community area,Edgewater,77,3000.0,1698.839333639
Community area,Near North Side,8,2300.0,1484.9108828323
