Layer,Name,GEOID,CHAJVUB_2021-2022,CHAJVUB_2021-2022_moe
,,,"Adult loneliness (count of adults), 2021-2022",(90% margin of error)
Community area,Rogers Park,1,15800.0,4593.66646445
Community area,Norwood Park,10,5400.0,2413.303134165
Community area,Jefferson Park,11,6800.0,2829.7602895450004
Community area,Forest Glen,12,2600.0,881.87490965
Community area,North Park,13,3300.0,1734.391308545
Community area,Albany Park,14,17700.0,6106.34390807
Community area,Portage Park,15,18800.0,6399.89192087
Community area,Irving Park,16,11800.0,4495.714579195
Community area,Dunning,17,8000.0,4115.796851425
Community area,Montclare,18,7800.0,3972.895994235
Community area,Belmont Cragin,19,11500.0,5515.57579503
Community area,West Ridge,2,16700.0,6349.227396435001
Community area,Hermosa,20,7400.0,3520.478954615
Community area,Avondale,21,10100.0,4484.17706079
Community area,Logan Square,22,20400.0,5168.96811641
Community area,Humboldt Park,23,7900.0,3710.3969599899997
Community area,West Town,24,27800.0,7086.771401045001
Community area,Austin,25,32400.0,11228.544004965
Community area,West Garfield Park,26,7200.0,3929.0891457999996
Community area,East Garfield Park,27,5400.0,2729.76228749
Community area,Near West Side,28,17100.0,5847.40091145
Community area,North Lawndale,29,5800.0,3550.38813241
Community area,Uptown,3,21300.0,5799.81551611
Community area,South Lawndale,30,28700.0,9978.84739964
Community area,Lower West Side,31,6100.0,2850.6465255450003
Community area,Loop,32,13300.0,3918.492712155
Community area,Near South Side,33,4700.0,1979.982590285
Community area,Armour Square,34,3200.0,1310.563328298
Community area,Douglas,35,4000.0,1726.76945602
Community area,Oakland,36,1900.0,687.0348545375
Community area,Fuller Park,37,4100.0,2124.87356683
Community area,Grand Boulevard,38,4500.0,1748.77573633
Community area,Kenwood,39,3800.0,1632.899335914
Community area,Lincoln Square,4,9300.0,3472.46423237
Community area,Washington Park,40,2800.0,1050.516679793
Community area,Hyde Park,41,4500.0,1818.1816207450001
Community area,Woodlawn,42,7100.0,2845.113943105
Community area,South Shore,43,14300.0,5773.0255758
Community area,Chatham,44,11800.0,4916.81724254
Community area,Avalon Park,45,5100.0,4508.085459535
Community area,South Chicago,46,6500.0,4497.03632189
Community area,Burnside,47,1100.0,591.822864997
Community area,Calumet Heights,48,1400.0,564.8764797585
Community area,Roseland,49,4100.0,2224.941099745
Community area,North Center,5,7800.0,2555.849181305
Community area,Pullman,50,5400.0,4187.9421461150005
Community area,South Deering,51,6800.0,4647.189409975
Community area,East Side,52,6000.0,3746.7491569900003
Community area,West Pullman,53,3000.0,1789.63013054
Community area,Riverdale,54,7000.0,4702.530065695
Community area,Hegewisch,55,900.0,407.63617253800004
Community area,Garfield Ridge,56,7800.0,4382.3056291
Community area,Archer Heights,57,7200.0,3212.37042994
Community area,Brighton Park,58,10500.0,4196.26377177
Community area,McKinley Park,59,5000.0,2938.5254836000004
Community area,Lake View,6,28900.0,4495.6966355350005
Community area,Bridgeport,60,5900.0,2732.8309379350003
Community area,New City,61,7300.0,3834.2884669600003
Community area,West Elsdon,62,4200.0,2008.1418976849998
Community area,Gage Park,63,8800.0,3569.520105865
Community area,Clearing,64,3300.0,1467.9108763585
Community area,West Lawn,65,6700.0,4470.9714696149995
Community area,Chicago Lawn,66,10700.0,4611.010257105
Community area,West Englewood,67,4400.0,2003.7573196199999
Community area,Englewood,68,9400.0,4958.689103795
Community area,Greater Grand Crossing,69,7900.0,3025.40734958
Community area,Lincoln Park,7,19600.0,4763.05382196
Community area,Ashburn,70,5300.0,2004.6621370650003
Community area,Auburn Gresham,71,13700.0,5877.02890446
Community area,Beverly,72,4400.0,3203.697083545
Community area,Washington Heights,73,4700.0,3103.956591435
Community area,Mount Greenwood,74,4800.0,2835.09356214
Community area,Morgan Park,75,5000.0,2252.113538745
Community area,O'Hare,76,3500.0,1784.4911028350002
Community area,Edgewater,77,18500.0,3956.80302997
Community area,Near North Side,8,23300.0,5476.049631395
Community area,Edison Park,9,2400.0,1309.6374796925002
