Layer,Name,GEOID,HDEDR_2017,HDEDR_2017_moe
,,,"Asthma ED visit rate (per 10,000 population), 2017",(90% margin of error)
Zip code,60601,60601,51.8,26.185714285815
Zip code,60604,60604,388.2,234.28660714655
Zip code,60605,60605,29.1,9.483928571348
Zip code,60606,60606,352.3,224.92857143260002
Zip code,60607,60607,76.0,14.016071428628502
Zip code,60608,60608,60.9,4.6999999999295
Zip code,60609,60609,85.9,6.042857142931
Zip code,60610,60610,84.0,11.708035714326
Zip code,60611,60611,15.2,7.595535714326
Zip code,60612,60612,192.8,12.799107142860501
Zip code,60613,60613,29.5,5.329464285768
Zip code,60614,60614,24.9,4.322321428558
Zip code,60615,60615,101.3,8.9803571429075
Zip code,60616,60616,44.2,5.665178571395
Zip code,60617,60617,130.0,6.5464285713715
Zip code,60618,60618,36.8,3.4410714285815005
Zip code,60619,60619,178.0,9.148214285721
Zip code,60620,60620,160.2,8.015178571442
Zip code,60621,60621,213.5,12.8830357143495
Zip code,60622,60622,74.7,7.8053571428840005
Zip code,60623,60623,112.0,6.0008928571865
Zip code,60624,60624,253.6,13.680357142837
Zip code,60625,60625,34.7,3.6508928571395
Zip code,60626,60626,55.2,5.874999999952999
Zip code,60628,60628,175.9,8.308928571489
Zip code,60629,60629,62.4,3.8607142856975
Zip code,60630,60630,37.5,4.5741071428605
Zip code,60631,60631,21.9,4.9937499999765
Zip code,60632,60632,33.4,3.1473214285345
Zip code,60633,60633,26.3,7.637500000070499
Zip code,60634,60634,40.0,3.986607142931
Zip code,60636,60636,196.5,11.6660714285815
Zip code,60637,60637,182.5,10.197321428511
Zip code,60638,60638,30.6,3.9026785714420003
Zip code,60639,60639,87.5,5.2035714285345005
Zip code,60640,60640,56.7,5.455357142837
Zip code,60641,60641,57.0,4.741964285674
Zip code,60642,60642,42.3,10.3232142857445
Zip code,60643,60643,106.6,8.099107142931
Zip code,60644,60644,234.6,11.414285714279
Zip code,60645,60645,52.4,5.5812500000705
Zip code,60646,60646,19.8,4.825892857163
Zip code,60647,60647,63.2,4.909821428652
Zip code,60649,60649,184.4,10.5330357143025
Zip code,60651,60651,185.1,8.8964285714185
Zip code,60652,60652,60.4,6.252678571489
Zip code,60653,60653,152.1,11.7919642856505
Zip code,60654,60654,83.6,34.03303571395
Zip code,60655,60655,12.1,3.3991071428370003
Zip code,60656,60656,23.7,5.0776785714655
Zip code,60657,60657,19.6,4.238392857069
Zip code,60659,60659,45.4,5.749107142884
Zip code,60660,60660,32.1,5.5812500000705
Zip code,60707,60707,55.0,6.16875
Zip code,60827,60827,167.2,12.6732142857915
