Layer,Name,GEOID,HDBHR_2017,HDBHR_2017_moe
,,,"Behavioral health hospitalization rate (per 10,000 population), 2017",(90% margin of error)
Zip code,60601,60601,85.4,17.41517857163
Zip code,60602,60602,400.5,201.1348214232
Zip code,60603,60603,990.3,812.4285714279
Zip code,60604,60604,674.2,293.07857143495005
Zip code,60605,60605,119.7,14.099999999953
Zip code,60606,60606,488.3,217.83660714655002
Zip code,60607,60607,304.1,21.527678571630002
Zip code,60608,60608,138.8,6.9241071429075
Zip code,60609,60609,180.2,9.064285714232001
Zip code,60610,60610,126.6,10.1133928571865
Zip code,60611,60611,79.4,10.1133928571865
Zip code,60612,60612,429.8,19.47142857163
Zip code,60613,60613,140.9,10.1133928571865
Zip code,60614,60614,93.6,7.0499999999765
Zip code,60615,60615,165.1,10.700892857116
Zip code,60616,60616,126.5,8.4767857143025
Zip code,60617,60617,144.4,6.9241071429075
Zip code,60618,60618,104.3,5.7910714286285
Zip code,60619,60619,218.2,9.819642857139499
Zip code,60620,60620,217.4,9.148214285721
Zip code,60621,60621,373.4,17.33125000047
Zip code,60622,60622,231.2,13.050892857163001
Zip code,60623,60623,220.6,8.560714285791502
Zip code,60624,60624,395.4,16.953571428605
Zip code,60625,60625,109.8,6.4205357143025
Zip code,60626,60626,298.3,12.966964285674
Zip code,60628,60628,216.9,9.1901785714655
Zip code,60629,60629,112.3,5.371428571348001
Zip code,60630,60630,94.7,6.9241071429075
Zip code,60631,60631,92.9,9.9035714286285
Zip code,60632,60632,86.2,5.2035714285345005
Zip code,60633,60633,120.3,15.8625000000705
Zip code,60634,60634,107.7,6.294642857069
Zip code,60636,60636,320.4,14.8553571428605
Zip code,60637,60637,270.7,12.5892857143025
Zip code,60638,60638,104.3,7.259821428534499
Zip code,60639,60639,138.8,6.6303571428605
Zip code,60640,60640,302.6,11.2464285714655
Zip code,60641,60641,123.7,6.882142857163001
Zip code,60642,60642,132.2,16.911607143025
Zip code,60643,60643,151.8,9.358035714279
Zip code,60644,60644,469.4,16.4080357142555
Zip code,60645,60645,148.2,9.651785714326
Zip code,60646,60646,69.9,8.9803571429075
Zip code,60647,60647,157.4,7.679464285650501
Zip code,60649,60649,279.0,12.6732142857915
Zip code,60651,60651,289.8,11.28839285721
Zip code,60652,60652,103.1,8.392857142813499
Zip code,60653,60653,291.8,16.156249999953
Zip code,60654,60654,106.6,14.603571428558
Zip code,60655,60655,97.3,9.777678571395
Zip code,60656,60656,67.4,8.434821428558001
Zip code,60657,60657,98.3,7.679464285650501
Zip code,60659,60659,88.4,7.8892857142084996
Zip code,60660,60660,150.8,9.6937500000705
Zip code,60661,60661,45.8,29.96249999953
Zip code,60707,60707,104.3,8.099107142931
Zip code,60827,60827,156.5,12.421428571489
