Layer,Name,GEOID,HCSBHP_2021-2022,HCSBHP_2021-2022_moe
,,,"Behavioral health treatment rate (% of adults), 2021-2022",(90% margin of error)
Community area,Rogers Park,1,49.81188652,23.258801679715
Community area,Jefferson Park,11,35.996216943,26.833910949440003
Community area,Forest Glen,12,42.74802593,28.946620840130002
Community area,Portage Park,15,45.392527743,30.97833716208
Community area,Irving Park,16,66.575342639,21.68128851042
Community area,Dunning,17,53.57183304,34.62660310375
Community area,West Ridge,2,27.161813788,21.52978423743
Community area,Hermosa,20,46.345146022,37.69105680501
Community area,Logan Square,22,49.003728605,24.212280761305003
Community area,Humboldt Park,23,44.519851731,34.591507425195005
Community area,West Town,24,57.37780444,24.628114372855
Community area,West Garfield Park,26,53.180470549,33.33859380852
Community area,Uptown,3,21.384428551,13.918638423749499
Community area,Lincoln Square,4,84.429441329,14.999471761490998
Community area,Washington Park,40,62.397378655,28.313385889074997
Community area,Hyde Park,41,82.894954154,26.173466660389998
Community area,Woodlawn,42,82.165228735,26.582533246955002
Community area,North Center,5,55.024655197,34.6683377901
Community area,Pullman,50,65.664617569,48.18293260501
Community area,South Deering,51,64.787092082,37.88450509389
Community area,Garfield Ridge,56,89.11278278,21.0363733734
Community area,McKinley Park,59,59.696048039,33.353851856325
Community area,Lake View,6,60.746674448,13.2417533950625
Community area,Gage Park,63,47.717218806,27.14557853854
Community area,West Lawn,65,39.742001343,31.924862103225003
Community area,Beverly,72,98.218770891,3.688774528586
Community area,Washington Heights,73,75.107967019,29.797504257394998
Community area,Edgewater,77,61.419792888,19.52410313637
Community area,Near North Side,8,38.12539324,24.478425679785
