Layer,Name,GEOID,HDDIAR_2017,HDDIAR_2017_moe
,,,"Diabetes-related hospitalization rate (per 10,000 population), 2017",(90% margin of error)
Zip code,60605,60605,5.6,2.769642857163
Zip code,60607,60607,22.8,8.015178571442
Zip code,60608,60608,25.7,3.4410714285815005
Zip code,60609,60609,38.1,4.741964285674
Zip code,60610,60610,9.7,3.0214285714655
Zip code,60611,60611,6.5,4.238392857069
Zip code,60612,60612,40.9,6.1267857142555
Zip code,60613,60613,11.1,2.895535714232
Zip code,60614,60614,10.7,2.6017857143495
Zip code,60615,60615,23.5,4.028571428511
Zip code,60616,60616,19.4,3.189285714279
Zip code,60617,60617,27.1,2.9374999999764997
Zip code,60618,60618,15.3,2.4339285713715
Zip code,60619,60619,43.0,4.1125
Zip code,60620,60620,42.7,3.9446428571865
Zip code,60621,60621,49.3,6.4205357143025
Zip code,60622,60622,20.6,4.2803571428135
Zip code,60623,60623,33.9,3.7767857142085
Zip code,60624,60624,38.2,5.4973214285815
Zip code,60625,60625,14.2,2.475892857116
Zip code,60626,60626,27.3,4.3642857143025005
Zip code,60628,60628,39.8,3.818749999953
Zip code,60629,60629,35.0,3.4410714285815005
Zip code,60630,60630,10.6,2.2241071428134997
Zip code,60631,60631,12.2,3.10535714279
Zip code,60632,60632,24.6,3.2312500000235
Zip code,60633,60633,15.1,5.455357142837
Zip code,60634,60634,17.2,2.4339285713715
Zip code,60636,60636,46.7,5.7910714286285
Zip code,60637,60637,27.9,4.028571428511
Zip code,60638,60638,16.5,2.769642857163
Zip code,60639,60639,29.4,3.5250000000705
Zip code,60640,60640,27.2,3.483035714326
Zip code,60641,60641,20.6,2.9794642857210003
Zip code,60642,60642,17.5,6.6723214286050005
Zip code,60643,60643,32.6,4.1125
Zip code,60644,60644,53.2,5.4973214285815
Zip code,60645,60645,16.2,3.1473214285345
Zip code,60646,60646,12.2,3.273214285768
Zip code,60647,60647,27.1,3.7348214286285
Zip code,60649,60649,34.8,4.406250000047001
Zip code,60651,60651,42.4,4.7839285714185
Zip code,60652,60652,27.5,4.616071428605
Zip code,60653,60653,43.2,6.1267857142555
Zip code,60655,60655,13.9,3.6508928571395
Zip code,60656,60656,10.3,3.10535714279
Zip code,60657,60657,8.6,2.3919642857915
Zip code,60659,60659,17.1,3.608928571395
Zip code,60660,60660,18.7,3.6508928571395
Zip code,60707,60707,14.9,2.9794642857210003
Zip code,60827,60827,49.9,7.595535714326
