Layer,Name,GEOID,HDDR_2017,HDDR_2017_moe
,,,"Drug-related hospitalizations (count of hospitalizations), 2017",(90% margin of error)
Zip code,60605,60605,49.0,
Zip code,60607,60607,101.0,
Zip code,60608,60608,192.0,
Zip code,60609,60609,200.0,
Zip code,60610,60610,94.0,
Zip code,60611,60611,26.0,
Zip code,60612,60612,345.0,
Zip code,60613,60613,43.0,
Zip code,60614,60614,46.0,
Zip code,60615,60615,144.0,
Zip code,60616,60616,65.0,
Zip code,60617,60617,221.0,
Zip code,60618,60618,100.0,
Zip code,60619,60619,400.0,
Zip code,60620,60620,364.0,
Zip code,60621,60621,302.0,
Zip code,60622,60622,158.0,
Zip code,60623,60623,380.0,
Zip code,60624,60624,488.0,
Zip code,60625,60625,56.0,
Zip code,60626,60626,108.0,
Zip code,60628,60628,415.0,
Zip code,60629,60629,172.0,
Zip code,60630,60630,41.0,
Zip code,60631,60631,25.0,
Zip code,60632,60632,55.0,
Zip code,60633,60633,15.0,
Zip code,60634,60634,106.0,
Zip code,60636,60636,351.0,
Zip code,60637,60637,370.0,
Zip code,60638,60638,70.0,
Zip code,60639,60639,244.0,
Zip code,60640,60640,177.0,
Zip code,60641,60641,80.0,
Zip code,60642,60642,23.0,
Zip code,60643,60643,130.0,
Zip code,60644,60644,626.0,
Zip code,60645,60645,43.0,
Zip code,60646,60646,24.0,
Zip code,60647,60647,179.0,
Zip code,60649,60649,359.0,
Zip code,60651,60651,585.0,
Zip code,60652,60652,51.0,
Zip code,60653,60653,210.0,
Zip code,60654,60654,25.0,
Zip code,60655,60655,34.0,
Zip code,60656,60656,13.0,
Zip code,60657,60657,37.0,
Zip code,60659,60659,33.0,
Zip code,60660,60660,44.0,
Zip code,60707,60707,76.0,
Zip code,60827,60827,75.0,
