Layer,Name,GEOID,HCSHYT_2021-2022,HCSHYT_2021-2022_moe
,,,"Hypertension (count of adults), 2021-2022",(90% margin of error)
Community area,Rogers Park,1,13700.0,4208.630089538
Community area,Norwood Park,10,9400.0,2770.0579980815
Community area,Jefferson Park,11,6900.0,2573.565055194
Community area,Forest Glen,12,3700.0,1307.64147635345
Community area,North Park,13,3300.0,1206.2794207065
Community area,Albany Park,14,9500.0,4501.9906498175005
Community area,Portage Park,15,12900.0,4575.8614169205
Community area,Irving Park,16,12500.0,5405.068387726001
Community area,Dunning,17,9200.0,4253.7376254905
Community area,Montclare,18,5700.0,2870.9539033175
Community area,Belmont Cragin,19,14800.0,6529.789920962
Community area,West Ridge,2,11700.0,4093.8327943169998
Community area,Hermosa,20,4600.0,2489.088404908
Community area,Avondale,21,6700.0,3314.8615477705
Community area,Logan Square,22,11200.0,4814.1893543099995
Community area,Humboldt Park,23,12400.0,5218.070115223
Community area,West Town,24,14600.0,4402.79576555
Community area,Austin,25,25700.0,9187.3477278135
Community area,West Garfield Park,26,6500.0,3569.3089683055
Community area,East Garfield Park,27,4800.0,2085.2578890395002
Community area,Near West Side,28,11400.0,3825.8055072720003
Community area,North Lawndale,29,8300.0,4223.528689544501
Community area,Uptown,3,11700.0,3483.6371788015
Community area,South Lawndale,30,15500.0,7219.0509892025
Community area,Lower West Side,31,7900.0,4057.6056428145
Community area,Loop,32,6800.0,2933.6656528619997
Community area,Near South Side,33,5300.0,2754.5377999509997
Community area,Armour Square,34,3300.0,1336.8503634685499
Community area,Douglas,35,4200.0,2032.912946932
Community area,Oakland,36,2200.0,774.37065295415
Community area,Fuller Park,37,5100.0,2315.3274594135
Community area,Grand Boulevard,38,5700.0,1770.4559317444998
Community area,Kenwood,39,8000.0,4832.891988687
Community area,Lincoln Square,4,5700.0,2194.0712901485
Community area,Washington Park,40,2800.0,865.2451505313
Community area,Hyde Park,41,3700.0,1616.1165048406
Community area,Woodlawn,42,4800.0,1871.9646804145002
Community area,South Shore,43,8600.0,3311.8501015425
Community area,Chatham,44,11800.0,4082.2646131119996
Community area,Avalon Park,45,6100.0,2018.5135889625
Community area,South Chicago,46,5900.0,2302.97037026
Community area,Burnside,47,1400.0,478.78175891210003
Community area,Calumet Heights,48,6700.0,3841.0895728905
Community area,Roseland,49,6400.0,2467.8831506035
Community area,North Center,5,7100.0,2461.572254344
Community area,Pullman,50,3500.0,3101.9656392165
Community area,South Deering,51,2700.0,1243.2792341704
Community area,East Side,52,5100.0,2204.5240483420002
Community area,West Pullman,53,8900.0,4451.317602144
Community area,Riverdale,54,1500.0,487.18271191204997
Community area,Hegewisch,55,2500.0,880.5485228239
Community area,Garfield Ridge,56,9900.0,4136.171468079
Community area,Archer Heights,57,5100.0,2294.857084184
Community area,Brighton Park,58,7100.0,2833.4532140355
Community area,McKinley Park,59,3800.0,2471.9039411955
Community area,Lake View,6,16600.0,3666.406646679
Community area,Bridgeport,60,4700.0,2408.3087712145
Community area,New City,61,5600.0,3655.4889914165
Community area,West Elsdon,62,4100.0,1354.5077066948
Community area,Gage Park,63,6700.0,3015.3458299615
Community area,Clearing,64,4600.0,1687.8044356075
Community area,West Lawn,65,9500.0,5011.0123960575
Community area,Chicago Lawn,66,12000.0,4911.2386565235
Community area,West Englewood,67,8000.0,3029.2194947875
Community area,Englewood,68,9200.0,4460.467849008501
Community area,Greater Grand Crossing,69,8600.0,2904.2620988815
Community area,Lincoln Park,7,9100.0,3162.29965345
Community area,Ashburn,70,6300.0,2390.440303671
Community area,Auburn Gresham,71,13500.0,5481.9679349155
Community area,Beverly,72,4300.0,1838.858180768
Community area,Washington Heights,73,9300.0,2947.859938716
Community area,Mount Greenwood,74,6600.0,3336.030372234
Community area,Morgan Park,75,8400.0,3608.923096177
Community area,O'Hare,76,3200.0,1891.0988900825
Community area,Edgewater,77,18000.0,4112.617293435001
Community area,Near North Side,8,14700.0,4406.537242709001
Community area,Edison Park,9,2600.0,1173.4074791425
