Layer,Name,GEOID,HDMDR_2017,HDMDR_2017_moe
,,,"Mood and depressive disorder hospitalization rate (per 10,000 population), 2017",(90% margin of error)
Zip code,60601,60601,35.1,12.715178571371501
Zip code,60604,60604,167.1,84.13839285768
Zip code,60605,60605,44.7,9.1062499999765
Zip code,60606,60606,105.5,55.015178571395
Zip code,60607,60607,99.5,12.463392857069
Zip code,60608,60608,52.8,4.238392857069
Zip code,60609,60609,64.4,5.245535714279001
Zip code,60610,60610,35.4,5.4973214285815
Zip code,60611,60611,30.3,7.427678571348
Zip code,60612,60612,129.3,10.6589285713715
Zip code,60613,60613,54.4,6.294642857069
Zip code,60614,60614,36.1,4.406250000047001
Zip code,60615,60615,69.8,6.966071428652
Zip code,60616,60616,45.0,5.0776785714655
Zip code,60617,60617,53.8,4.196428571489
Zip code,60618,60618,51.0,4.1125
Zip code,60619,60619,74.3,5.874999999952999
Zip code,60620,60620,70.7,5.2875000000235
Zip code,60621,60621,113.9,9.483928571348
Zip code,60622,60622,78.4,7.595535714326
Zip code,60623,60623,76.0,4.909821428652
Zip code,60624,60624,136.0,9.777678571395
Zip code,60625,60625,44.9,4.028571428511
Zip code,60626,60626,119.0,8.225
Zip code,60628,60628,77.5,5.539285714326
Zip code,60629,60629,41.8,3.1473214285345
Zip code,60630,60630,41.3,4.616071428605
Zip code,60631,60631,46.3,7.133928571465501
Zip code,60632,60632,37.4,3.273214285768
Zip code,60633,60633,54.9,10.784821428605
Zip code,60634,60634,44.8,4.0705357142555
Zip code,60636,60636,97.2,8.099107142931
Zip code,60637,60637,85.5,7.008035714232001
Zip code,60638,60638,50.7,5.0776785714655
Zip code,60639,60639,50.0,3.818749999953
Zip code,60640,60640,114.1,7.133928571465501
Zip code,60641,60641,57.1,4.6999999999295
Zip code,60642,60642,52.9,11.078571428652
Zip code,60643,60643,63.9,6.084821428511001
Zip code,60644,60644,137.0,8.8124999999295
Zip code,60645,60645,68.7,6.588392857115999
Zip code,60646,60646,31.7,6.16875
Zip code,60647,60647,71.3,5.161607142789999
Zip code,60649,60649,80.9,6.9241071429075
Zip code,60651,60651,94.4,6.4205357143025
Zip code,60652,60652,47.6,5.749107142884
Zip code,60653,60653,91.9,9.064285714232001
Zip code,60654,60654,37.6,8.518750000047
Zip code,60655,60655,51.2,7.091964285721
Zip code,60656,60656,35.1,6.294642857069
Zip code,60657,60657,41.5,5.2035714285345005
Zip code,60659,60659,41.1,5.371428571348001
Zip code,60660,60660,58.5,6.16875
Zip code,60661,60661,29.9,28.451785713714997
Zip code,60707,60707,41.4,5.0776785714655
Zip code,60827,60827,60.6,7.637500000070499
