Layer,Name,GEOID,HDMD_2017,HDMD_2017_moe
,,,"Mood and depressive disorder hospitalizations (count of hospitalizations), 2017",(90% margin of error)
Zip code,60601,60601,36.0,
Zip code,60604,60604,12.0,
Zip code,60605,60605,104.0,
Zip code,60606,60606,20.0,
Zip code,60607,60607,227.0,
Zip code,60608,60608,440.0,
Zip code,60609,60609,426.0,
Zip code,60610,60610,140.0,
Zip code,60611,60611,86.0,
Zip code,60612,60612,415.0,
Zip code,60613,60613,255.0,
Zip code,60614,60614,229.0,
Zip code,60615,60615,286.0,
Zip code,60616,60616,229.0,
Zip code,60617,60617,451.0,
Zip code,60618,60618,440.0,
Zip code,60619,60619,455.0,
Zip code,60620,60620,501.0,
Zip code,60621,60621,408.0,
Zip code,60622,60622,346.0,
Zip code,60623,60623,679.0,
Zip code,60624,60624,537.0,
Zip code,60625,60625,357.0,
Zip code,60626,60626,613.0,
Zip code,60628,60628,544.0,
Zip code,60629,60629,501.0,
Zip code,60630,60630,220.0,
Zip code,60631,60631,123.0,
Zip code,60632,60632,371.0,
Zip code,60633,60633,71.0,
Zip code,60634,60634,338.0,
Zip code,60636,60636,403.0,
Zip code,60637,60637,419.0,
Zip code,60638,60638,274.0,
Zip code,60639,60639,470.0,
Zip code,60640,60640,774.0,
Zip code,60641,60641,409.0,
Zip code,60642,60642,76.0,
Zip code,60643,60643,316.0,
Zip code,60644,60644,674.0,
Zip code,60645,60645,300.0,
Zip code,60646,60646,80.0,
Zip code,60647,60647,571.0,
Zip code,60649,60649,378.0,
Zip code,60651,60651,607.0,
Zip code,60652,60652,192.0,
Zip code,60653,60653,280.0,
Zip code,60654,60654,64.0,
Zip code,60655,60655,143.0,
Zip code,60656,60656,90.0,
Zip code,60657,60657,230.0,
Zip code,60659,60659,161.0,
Zip code,60660,60660,266.0,
Zip code,60661,60661,11.0,
Zip code,60707,60707,185.0,
Zip code,60827,60827,178.0,
