Layer,Name,GEOID,HCSNVP_2021-2022,HCSNVP_2021-2022_moe
,,,"Neighborhood violence rate (% of adults), 2021-2022",(90% margin of error)
Community area,Rogers Park,1,38.256937959,8.455362947241001
Community area,Norwood Park,10,15.184951538,6.750866134208
Community area,Jefferson Park,11,13.214081274,5.8579487537690005
Community area,Forest Glen,12,5.7175987784,3.325150748549
Community area,North Park,13,18.390970432,14.488028872009
Community area,Albany Park,14,42.2865308,10.841127208621499
Community area,Portage Park,15,17.880634249,7.664604768869999
Community area,Irving Park,16,21.233113764,8.18332347098
Community area,Dunning,17,20.077395876,9.87517821654
Community area,Montclare,18,9.8282805902,6.661616836045501
Community area,Belmont Cragin,19,17.511607864,7.89463270232
Community area,West Ridge,2,18.183798701,8.2563138141785
Community area,Hermosa,20,34.544768447,12.9566537604315
Community area,Avondale,21,19.573154651,9.653916845713
Community area,Logan Square,22,28.577492177,6.795742254357001
Community area,Humboldt Park,23,46.526000168,13.183802257587502
Community area,West Town,24,27.802513268,5.925106280642501
Community area,Austin,25,51.363273984,11.348960197092001
Community area,West Garfield Park,26,72.194152467,17.864627837140002
Community area,East Garfield Park,27,67.996716958,12.4370748032685
Community area,Near West Side,28,31.24210211,7.7210369990495
Community area,North Lawndale,29,57.367758251,15.001731035088
Community area,Uptown,3,33.256931815,8.095850068264
Community area,South Lawndale,30,56.783398193,12.088972116571
Community area,Lower West Side,31,43.38097848,13.318842051781001
Community area,Loop,32,44.458842705,9.171738175586
Community area,Near South Side,33,48.024997224,12.0512208896765
Community area,Armour Square,34,36.012207117,12.278085276086001
Community area,Douglas,35,37.941671773,14.0053415492935
Community area,Oakland,36,25.723269813,10.120028253713
Community area,Fuller Park,37,47.910386176,16.1939334956175
Community area,Grand Boulevard,38,40.117467409,10.924023732443501
Community area,Kenwood,39,27.72627846,11.5620743624365
Community area,Lincoln Square,4,12.439516771,5.6269182600995
Community area,Washington Park,40,54.5279787,10.65933501682
Community area,Hyde Park,41,39.868376126,11.563866548647
Community area,Woodlawn,42,40.891576239,14.073698581215002
Community area,South Shore,43,64.395946286,11.3060887928765
Community area,Chatham,44,54.26466436,12.140904215496
Community area,Avalon Park,45,39.244228913,19.046385893115
Community area,South Chicago,46,54.44417983,17.467047630865
Community area,Burnside,47,27.122242164,10.1462201462125
Community area,Calumet Heights,48,24.236443159,14.5766116941445
Community area,Roseland,49,47.368107675,14.9089790976455
Community area,North Center,5,9.1677853067,4.8530725149165
Community area,Pullman,50,33.435202598,23.797380295745
Community area,South Deering,51,38.616990155,17.640792701945
Community area,East Side,52,52.402927046,16.70449780853
Community area,West Pullman,53,37.88976883,17.968741734475
Community area,Riverdale,54,40.675603202,19.62001416718
Community area,Hegewisch,55,18.139247911,9.2763011057745
Community area,Garfield Ridge,56,12.123777768,7.0507662574265
Community area,Archer Heights,57,28.837370994,10.748958821275501
Community area,Brighton Park,58,43.578929207,13.8726285942755
Community area,McKinley Park,59,9.8238970534,6.8897043378589995
Community area,Lake View,6,26.720927554,3.9607410920315
Community area,Bridgeport,60,22.63060086,9.582892508637
Community area,New City,61,71.407372218,12.488686358809499
Community area,West Elsdon,62,19.041729917,8.694034346648
Community area,Gage Park,63,31.412435215,10.588496866107999
Community area,Clearing,64,16.094531935,6.953705307626
Community area,West Lawn,65,40.146599181,14.7005940445945
Community area,Chicago Lawn,66,40.314535353,12.445182836037
Community area,West Englewood,67,48.103544615,13.267921330769001
Community area,Englewood,68,75.248770082,10.9787001644705
Community area,Greater Grand Crossing,69,51.628832055,12.3460789186245
Community area,Lincoln Park,7,24.346167085,5.8870583274965
Community area,Ashburn,70,26.630210883,15.860213652405498
Community area,Auburn Gresham,71,65.472692575,11.0728098156585
Community area,Beverly,72,16.099581871,12.733402379971
Community area,Washington Heights,73,21.635223617,9.58861641017
Community area,Mount Greenwood,74,6.8554499429,3.5245588067935
Community area,Morgan Park,75,23.624819104,12.46594925254
Community area,O'Hare,76,6.7238200164,4.973884267527
Community area,Edgewater,77,15.864158492,4.947249735631
Community area,Near North Side,8,35.414202725,6.1428455340734995
