Layer,Name,GEOID,MEODL_2020,MEODL_2020_moe
,,,"Opioid-related overdose mortality (Chicago location) (count of deaths), 2020",(90% margin of error)
Community area,Rogers Park,1,17.0,
Community area,Norwood Park,10,6.0,
Community area,Jefferson Park,11,6.0,
Community area,Forest Glen,12,3.0,
Community area,North Park,13,4.0,
Community area,Albany Park,14,6.0,
Community area,Portage Park,15,17.0,
Community area,Irving Park,16,13.0,
Community area,Dunning,17,8.0,
Community area,Montclare,18,3.0,
Community area,Belmont Cragin,19,23.0,
Community area,West Ridge,2,14.0,
Community area,Hermosa,20,6.0,
Community area,Avondale,21,13.0,
Community area,Logan Square,22,23.0,
Community area,Humboldt Park,23,99.0,
Community area,West Town,24,25.0,
Community area,Austin,25,108.0,
Community area,West Garfield Park,26,71.0,
Community area,East Garfield Park,27,53.0,
Community area,Near West Side,28,38.0,
Community area,North Lawndale,29,66.0,
Community area,Uptown,3,6.0,
Community area,South Lawndale,30,37.0,
Community area,Lower West Side,31,13.0,
Community area,Loop,32,19.0,
Community area,Near South Side,33,2.0,
Community area,Armour Square,34,4.0,
Community area,Douglas,35,14.0,
Community area,Oakland,36,4.0,
Community area,Fuller Park,37,7.0,
Community area,Grand Boulevard,38,19.0,
Community area,Kenwood,39,3.0,
Community area,Lincoln Square,4,5.0,
Community area,Washington Park,40,12.0,
Community area,Hyde Park,41,0.0,
Community area,Woodlawn,42,12.0,
Community area,South Shore,43,40.0,
Community area,Chatham,44,32.0,
Community area,Avalon Park,45,7.0,
Community area,South Chicago,46,12.0,
Community area,Burnside,47,1.0,
Community area,Calumet Heights,48,2.0,
Community area,Roseland,49,31.0,
Community area,North Center,5,1.0,
Community area,Pullman,50,2.0,
Community area,South Deering,51,10.0,
Community area,East Side,52,3.0,
Community area,West Pullman,53,16.0,
Community area,Riverdale,54,3.0,
Community area,Hegewisch,55,0.0,
Community area,Garfield Ridge,56,8.0,
Community area,Archer Heights,57,5.0,
Community area,Brighton Park,58,8.0,
Community area,McKinley Park,59,5.0,
Community area,Lake View,6,15.0,
Community area,Bridgeport,60,8.0,
Community area,New City,61,29.0,
Community area,West Elsdon,62,7.0,
Community area,Gage Park,63,11.0,
Community area,Clearing,64,8.0,
Community area,West Lawn,65,6.0,
Community area,Chicago Lawn,66,23.0,
Community area,West Englewood,67,36.0,
Community area,Englewood,68,16.0,
Community area,Greater Grand Crossing,69,26.0,
Community area,Lincoln Park,7,4.0,
Community area,Ashburn,70,9.0,
Community area,Auburn Gresham,71,36.0,
Community area,Beverly,72,3.0,
Community area,Washington Heights,73,8.0,
Community area,Mount Greenwood,74,2.0,
Community area,Morgan Park,75,6.0,
Community area,O'Hare,76,12.0,
Community area,Edgewater,77,10.0,
Community area,Near North Side,8,26.0,
Community area,Edison Park,9,1.0,
