Layer,Name,GEOID,MEOD_2020,MEOD_2020_moe
,,,"Opioid-related overdose mortality (count of deaths), 2020",(90% margin of error)
Community area,Rogers Park,1,17.0,
Community area,Norwood Park,10,6.0,
Community area,Jefferson Park,11,5.0,
Community area,Forest Glen,12,3.0,
Community area,North Park,13,1.0,
Community area,Albany Park,14,9.0,
Community area,Portage Park,15,22.0,
Community area,Irving Park,16,12.0,
Community area,Dunning,17,11.0,
Community area,Montclare,18,4.0,
Community area,Belmont Cragin,19,32.0,
Community area,West Ridge,2,13.0,
Community area,Hermosa,20,4.0,
Community area,Avondale,21,8.0,
Community area,Logan Square,22,17.0,
Community area,Humboldt Park,23,65.0,
Community area,West Town,24,20.0,
Community area,Austin,25,97.0,
Community area,West Garfield Park,26,23.0,
Community area,East Garfield Park,27,37.0,
Community area,Near West Side,28,32.0,
Community area,North Lawndale,29,50.0,
Community area,Uptown,3,7.0,
Community area,South Lawndale,30,25.0,
Community area,Lower West Side,31,10.0,
Community area,Loop,32,3.0,
Community area,Near South Side,33,7.0,
Community area,Armour Square,34,3.0,
Community area,Douglas,35,9.0,
Community area,Oakland,36,5.0,
Community area,Fuller Park,37,4.0,
Community area,Grand Boulevard,38,17.0,
Community area,Kenwood,39,5.0,
Community area,Lincoln Square,4,4.0,
Community area,Washington Park,40,9.0,
Community area,Hyde Park,41,3.0,
Community area,Woodlawn,42,11.0,
Community area,South Shore,43,36.0,
Community area,Chatham,44,29.0,
Community area,Avalon Park,45,8.0,
Community area,South Chicago,46,10.0,
Community area,Burnside,47,0.0,
Community area,Calumet Heights,48,1.0,
Community area,Roseland,49,29.0,
Community area,North Center,5,2.0,
Community area,Pullman,50,2.0,
Community area,South Deering,51,10.0,
Community area,East Side,52,6.0,
Community area,West Pullman,53,15.0,
Community area,Riverdale,54,2.0,
Community area,Hegewisch,55,0.0,
Community area,Garfield Ridge,56,9.0,
Community area,Archer Heights,57,4.0,
Community area,Brighton Park,58,9.0,
Community area,McKinley Park,59,3.0,
Community area,Lake View,6,7.0,
Community area,Bridgeport,60,6.0,
Community area,New City,61,21.0,
Community area,West Elsdon,62,6.0,
Community area,Gage Park,63,12.0,
Community area,Clearing,64,8.0,
Community area,West Lawn,65,5.0,
Community area,Chicago Lawn,66,25.0,
Community area,West Englewood,67,26.0,
Community area,Englewood,68,19.0,
Community area,Greater Grand Crossing,69,16.0,
Community area,Lincoln Park,7,2.0,
Community area,Ashburn,70,9.0,
Community area,Auburn Gresham,71,31.0,
Community area,Beverly,72,5.0,
Community area,Washington Heights,73,9.0,
Community area,Mount Greenwood,74,3.0,
Community area,Morgan Park,75,7.0,
Community area,O'Hare,76,5.0,
Community area,Edgewater,77,10.0,
Community area,Near North Side,8,17.0,
Community area,Edison Park,9,4.0,
