Layer,Name,GEOID,MEODR_2020,MEODR_2020_moe
,,,"Opioid-related overdose mortality rate (per 100,000 population), 2020",(90% margin of error)
Community area,Rogers Park,1,27.8,22.176317592205002
Community area,Norwood Park,10,15.0,17.421550398525
Community area,Jefferson Park,11,17.9,18.432341834480003
Community area,Forest Glen,12,27.0,25.666298218855
Community area,North Park,13,4.2,6.9100296099415
Community area,Albany Park,14,19.9,23.561097937405
Community area,Portage Park,15,31.5,26.442559545535
Community area,Irving Park,16,21.5,24.550921849685
Community area,Dunning,17,25.1,26.66385940673
Community area,Montclare,18,31.1,51.221608828915
Community area,Belmont Cragin,19,42.5,28.562059608005004
Community area,West Ridge,2,19.2,19.125940693860002
Community area,Hermosa,20,17.4,24.41697130754
Community area,Avondale,21,21.0,25.71616337528
Community area,Logan Square,22,26.4,27.233187229674996
Community area,Humboldt Park,23,123.8,55.51773394271999
Community area,West Town,24,30.7,24.348628433640002
Community area,Austin,25,93.3,38.135092120545
Community area,West Garfield Park,26,130.8,103.543265010605
Community area,East Garfield Park,27,190.8,119.895469467795
Community area,Near West Side,28,70.5,46.65916104451
Community area,North Lawndale,29,150.2,77.11363923973501
Community area,Uptown,3,11.2,15.459533803721
Community area,South Lawndale,30,38.1,26.968202651425003
Community area,Lower West Side,31,25.6,21.923257984145
Community area,Loop,32,9.1,15.0005197720735
Community area,Near South Side,33,27.4,39.15247458458
Community area,Armour Square,34,18.7,25.566408900305
Community area,Douglas,35,40.4,48.488320098995004
Community area,Oakland,36,89.8,113.23036099406501
Community area,Fuller Park,37,122.3,167.46617808164999
Community area,Grand Boulevard,38,72.9,57.892764980645005
Community area,Kenwood,39,20.5,25.75637720978
Community area,Lincoln Square,4,9.7,11.146937465797
Community area,Washington Park,40,95.7,89.875152038035
Community area,Hyde Park,41,10.9,14.784294337130499
Community area,Woodlawn,42,45.4,50.400810867645
Community area,South Shore,43,64.2,39.47486391849
Community area,Chatham,44,75.5,53.7108953619
Community area,Avalon Park,45,55.8,62.13865837773999
Community area,South Chicago,46,28.6,24.799777219385
Community area,Burnside,47,0.0,
Community area,Calumet Heights,48,6.7,10.953181728391
Community area,Roseland,49,59.7,40.88679610729
Community area,North Center,5,2.8,3.2747844808735
Community area,Pullman,50,24.0,39.460775857195
Community area,South Deering,51,67.8,83.64308722672
Community area,East Side,52,27.3,30.94837239809
Community area,West Pullman,53,45.1,41.490820406770005
Community area,Riverdale,54,43.9,72.176070460375
Community area,Hegewisch,55,0.0,
Community area,Garfield Ridge,56,26.2,28.268135360675
Community area,Archer Heights,57,29.7,43.15711519826
Community area,Brighton Park,58,21.6,21.532904072050002
Community area,McKinley Park,59,20.9,27.891847878125002
Community area,Lake View,6,6.4,9.839288286582999
Community area,Bridgeport,60,18.5,20.72836827152
Community area,New City,61,55.4,43.351050711465
Community area,West Elsdon,62,34.4,38.305082544925
Community area,Gage Park,63,33.4,29.30717155849
Community area,Clearing,64,34.7,37.504484703315
Community area,West Lawn,65,18.7,24.459962259005
Community area,Chicago Lawn,66,47.2,36.93943891736
Community area,West Englewood,67,78.4,56.029916352479994
Community area,Englewood,68,67.7,55.91254814236
Community area,Greater Grand Crossing,69,47.6,39.37516052771
Community area,Lincoln Park,7,4.0,6.540349178594
Community area,Ashburn,70,20.4,24.550270597475002
Community area,Auburn Gresham,71,58.0,41.30726829313
Community area,Beverly,72,22.4,34.13370744385
Community area,Washington Heights,73,32.8,33.13540274723
Community area,Mount Greenwood,74,17.8,23.4268792471
Community area,Morgan Park,75,33.7,46.18236476602
Community area,O'Hare,76,35.5,50.16087302156
Community area,Edgewater,77,15.5,17.38475203969
Community area,Near North Side,8,19.7,20.3314780424
Community area,Edison Park,9,36.4,50.741965877925
