Layer,Name,GEOID,EMSOD_2021,EMSOD_2021_moe
,,,"Opioid-related overdoses (count of EMS responses), 2021",(90% margin of error)
Community area,Rogers Park,1,156.0,
Community area,Norwood Park,10,36.0,
Community area,Jefferson Park,11,37.0,
Community area,Forest Glen,12,8.0,
Community area,North Park,13,22.0,
Community area,Albany Park,14,57.0,
Community area,Portage Park,15,54.0,
Community area,Irving Park,16,69.0,
Community area,Dunning,17,20.0,
Community area,Montclare,18,11.0,
Community area,Belmont Cragin,19,73.0,
Community area,West Ridge,2,68.0,
Community area,Hermosa,20,33.0,
Community area,Avondale,21,70.0,
Community area,Logan Square,22,81.0,
Community area,Humboldt Park,23,787.0,
Community area,West Town,24,161.0,
Community area,Austin,25,1244.0,
Community area,West Garfield Park,26,895.0,
Community area,East Garfield Park,27,588.0,
Community area,Near West Side,28,405.0,
Community area,North Lawndale,29,512.0,
Community area,Uptown,3,120.0,
Community area,South Lawndale,30,154.0,
Community area,Lower West Side,31,41.0,
Community area,Loop,32,231.0,
Community area,Near South Side,33,50.0,
Community area,Armour Square,34,43.0,
Community area,Douglas,35,130.0,
Community area,Oakland,36,20.0,
Community area,Fuller Park,37,34.0,
Community area,Grand Boulevard,38,242.0,
Community area,Kenwood,39,53.0,
Community area,Lincoln Square,4,33.0,
Community area,Washington Park,40,114.0,
Community area,Hyde Park,41,43.0,
Community area,Woodlawn,42,183.0,
Community area,South Shore,43,362.0,
Community area,Chatham,44,219.0,
Community area,Avalon Park,45,47.0,
Community area,South Chicago,46,109.0,
Community area,Burnside,47,7.0,
Community area,Calumet Heights,48,41.0,
Community area,Roseland,49,400.0,
Community area,North Center,5,19.0,
Community area,Pullman,50,14.0,
Community area,South Deering,51,60.0,
Community area,East Side,52,23.0,
Community area,West Pullman,53,99.0,
Community area,Riverdale,54,12.0,
Community area,Hegewisch,55,13.0,
Community area,Garfield Ridge,56,68.0,
Community area,Archer Heights,57,23.0,
Community area,Brighton Park,58,33.0,
Community area,McKinley Park,59,26.0,
Community area,Lake View,6,85.0,
Community area,Bridgeport,60,39.0,
Community area,New City,61,180.0,
Community area,West Elsdon,62,11.0,
Community area,Gage Park,63,33.0,
Community area,Clearing,64,31.0,
Community area,West Lawn,65,18.0,
Community area,Chicago Lawn,66,190.0,
Community area,West Englewood,67,489.0,
Community area,Englewood,68,238.0,
Community area,Greater Grand Crossing,69,266.0,
Community area,Lincoln Park,7,40.0,
Community area,Ashburn,70,50.0,
Community area,Auburn Gresham,71,296.0,
Community area,Beverly,72,10.0,
Community area,Washington Heights,73,103.0,
Community area,Mount Greenwood,74,12.0,
Community area,Morgan Park,75,38.0,
Community area,O'Hare,76,34.0,
Community area,Edgewater,77,71.0,
Community area,Near North Side,8,268.0,
Community area,Edison Park,9,12.0,
