Layer,Name,GEOID,HDSZR_2017,HDSZR_2017_moe
,,,"Schizophrenic disorder hospitalization rate (per 10,000 population), 2017",(90% margin of error)
Zip code,60601,60601,16.7,6.966071428652
Zip code,60605,60605,30.8,6.042857142931
Zip code,60606,60606,80.8,30.549999999294997
Zip code,60607,60607,106.6,12.631250000047
Zip code,60608,60608,28.5,3.1473214285345
Zip code,60609,60609,42.7,4.406250000047001
Zip code,60610,60610,33.1,4.7839285714185
Zip code,60611,60611,14.4,3.8607142856975
Zip code,60612,60612,132.9,10.6169642857915
Zip code,60613,60613,35.7,4.8678571429075
Zip code,60614,60614,19.4,3.1473214285345
Zip code,60615,60615,36.6,5.035714285721
Zip code,60616,60616,47.6,5.0776785714655
Zip code,60617,60617,37.9,3.6508928571395
Zip code,60618,60618,16.1,2.2241071428134997
Zip code,60619,60619,54.6,5.0776785714655
Zip code,60620,60620,69.9,5.329464285768
Zip code,60621,60621,130.7,10.491071428558001
Zip code,60622,60622,74.7,7.4696428570924995
Zip code,60623,60623,62.2,4.5741071428605
Zip code,60624,60624,92.7,8.2669642857445
Zip code,60625,60625,31.1,3.5250000000705
Zip code,60626,60626,113.5,8.015178571442
Zip code,60628,60628,62.4,5.035714285721
Zip code,60629,60629,21.9,2.3919642857915
Zip code,60630,60630,18.5,3.0633928572099998
Zip code,60631,60631,9.1,2.9794642857210003
Zip code,60632,60632,14.0,2.1401785714890003
Zip code,60633,60633,29.8,7.637500000070499
Zip code,60634,60634,20.1,2.6857142856740004
Zip code,60636,60636,99.6,8.434821428558001
Zip code,60637,60637,68.1,6.378571428558
Zip code,60638,60638,9.9,2.2241071428134997
Zip code,60639,60639,31.6,3.2312500000235
Zip code,60640,60640,114.6,6.6723214286050005
Zip code,60641,60641,20.6,2.769642857163
Zip code,60642,60642,17.6,5.7910714286285
Zip code,60643,60643,38.4,4.825892857163
Zip code,60644,60644,173.6,10.197321428511
Zip code,60645,60645,44.0,5.2035714285345005
Zip code,60646,60646,6.4,2.350000000047
Zip code,60647,60647,33.5,3.6508928571395
Zip code,60649,60649,89.0,7.21785714279
Zip code,60651,60651,68.8,5.4973214285815
Zip code,60652,60652,20.9,3.7348214286285
Zip code,60653,60653,103.4,9.651785714326
Zip code,60654,60654,18.7,6.042857142931
Zip code,60655,60655,9.5,3.0633928572099998
Zip code,60656,60656,9.5,3.0214285714655
Zip code,60657,60657,18.3,3.189285714279
Zip code,60659,60659,20.6,3.7767857142085
Zip code,60660,60660,59.9,6.0008928571865
Zip code,60707,60707,12.8,2.7276785714185
Zip code,60827,60827,44.8,6.798214285674001
