Layer,Name,GEOID,EKW_2022,EKW_2022_moe
,,,"Walkability Index, 2022",(90% margin of error)
Community area,Rogers Park,1,14.4005098207826,
Community area,Norwood Park,10,14.6167486122837,
Community area,Jefferson Park,11,16.1156976448542,
Community area,Forest Glen,12,15.3782071823539,
Community area,North Park,13,15.0848179347065,
Community area,Albany Park,14,14.7655602530696,
Community area,Portage Park,15,14.9800599763902,
Community area,Irving Park,16,15.0959576858352,
Community area,Dunning,17,14.4296588683792,
Community area,Montclare,18,14.9828993909958,
Community area,Belmont Cragin,19,14.7775814015383,
Community area,West Ridge,2,14.5477380041968,
Community area,Hermosa,20,13.8127219766831,
Community area,Avondale,21,15.1624867016166,
Community area,Logan Square,22,15.700717089786,
Community area,Humboldt Park,23,14.1314767692744,
Community area,West Town,24,15.7948060002588,
Community area,Austin,25,13.0286990211371,
Community area,West Garfield Park,26,14.2752518855159,
Community area,East Garfield Park,27,14.827388279309,
Community area,Near West Side,28,16.6709952897387,
Community area,North Lawndale,29,13.8461386430651,
Community area,Uptown,3,14.5317614186815,
Community area,South Lawndale,30,13.7064171076434,
Community area,Lower West Side,31,16.17647868396,
Community area,Loop,32,17.3339333070531,
Community area,Near South Side,33,16.4099042851993,
Community area,Armour Square,34,17.0758933233406,
Community area,Douglas,35,13.6387180434372,
Community area,Oakland,36,13.5713030217641,
Community area,Fuller Park,37,14.3922276592956,
Community area,Grand Boulevard,38,14.385861565025,
Community area,Kenwood,39,14.2026103133807,
Community area,Lincoln Square,4,15.4590231616915,
Community area,Washington Park,40,13.1587391624899,
Community area,Hyde Park,41,14.7511077607098,
Community area,Woodlawn,42,13.1643801504814,
Community area,South Shore,43,13.4596716522862,
Community area,Chatham,44,12.666940218388,
Community area,Avalon Park,45,13.6562702486061,
Community area,South Chicago,46,12.3949768518056,
Community area,Burnside,47,12.8339261810341,
Community area,Calumet Heights,48,13.6212855669329,
Community area,Roseland,49,13.3411382704295,
Community area,North Center,5,16.4993020730495,
Community area,Pullman,50,13.2411760192555,
Community area,South Deering,51,13.0710960637215,
Community area,East Side,52,13.6946957250564,
Community area,West Pullman,53,13.5775371599444,
Community area,Riverdale,54,12.9107377026663,
Community area,Hegewisch,55,12.3819353272002,
Community area,Garfield Ridge,56,14.7557737215495,
Community area,Archer Heights,57,14.5169409998557,
Community area,Brighton Park,58,14.5210106981624,
Community area,McKinley Park,59,15.2270756213757,
Community area,Lake View,6,15.1797809941881,
Community area,Bridgeport,60,15.3616616820558,
Community area,New City,61,13.529518973468,
Community area,West Elsdon,62,13.6277951739272,
Community area,Gage Park,63,13.6058066102639,
Community area,Clearing,64,14.2745968806404,
Community area,West Lawn,65,14.1072367348587,
Community area,Chicago Lawn,66,13.1586716503513,
Community area,West Englewood,67,13.2296051313759,
Community area,Englewood,68,12.8940360966017,
Community area,Greater Grand Crossing,69,12.9891692820656,
Community area,Lincoln Park,7,16.24747944915,
Community area,Ashburn,70,14.0465598881995,
Community area,Auburn Gresham,71,13.0280001333406,
Community area,Beverly,72,14.4732397138178,
Community area,Washington Heights,73,12.8426039054365,
Community area,Mount Greenwood,74,14.035811158648,
Community area,Morgan Park,75,14.0989444822903,
Community area,O'Hare,76,12.9893081715445,
Community area,Edgewater,77,13.8663684478073,
Community area,Near North Side,8,16.0473291501948,
Community area,Edison Park,9,16.0079796880569,
